Tag Name,Element,Chem Tag ID,Poster2
element_info,no,4200B143D8,12
compare,no,4200B1F7B2,21
bohr_models,no,4200B262A2,34
ionic_compound,no,4200B21E81,43
home,no,4200B17FEC,
plus,no,4300ACEDEA,plus
minus,no,4400B0015D,minus
back,no,4400B07DFD,17
left_arrow,no,4200B1A335,left
select,no,4300ADF29E,
right_arrow,no,4300AE14AE,right
Hydrogen,yes,4400B0253F,1
Helium,yes,4300A73B58,2
Lithium,yes,4300A07383,3
Beryllium,yes,4300A7849B,4
Boron,yes,4300A87DF4,5
Carbon,yes,4300A72DC8,6
Nitrogen,yes,4300A79F4C,7
Oxygen,yes,4300A872A6,8
Fluorine,yes,4300A1037E,9
Neon,yes,4300A0A70E,10
Sodium,yes,4300ACD9FE,
Magnesium,yes,4200B1256E,
Aluminum,yes,4200B21092,
Silicon,yes,4300ADF69C,
Phosphorus,yes,4300A77905,
Sulfur,yes,4200B20E2D,
Chlorine,yes,4300AE1AC8,1717
Argon,yes,4300AD3F4E,
Potassium,yes,4300AD4B27,
Calcium,yes,4300AD1547,
Scandium,yes,4200B23F44,
Titanium,yes,4300ACEAEE,
Vanadium,yes,4300AD8B07,
Chromium,yes,4300AE0478,
Manganese,yes,4400AFB2B1,
Iron,yes,4200B26DC5,
Cobalt,yes,4300ADD67E,
Nickel,yes,4200B185C2,
Copper,yes,4200B19A85,
Zinc,yes,4300AE1B76,
Gallium,yes,4200B1AC86,
Germanium,yes,4300AD4450,
Arsenic,yes,4200B25E0E,
Selenium,yes,4300AE3E39,
Bromine,yes,4200B24E77,
Krypton,yes,4300AD2B9D,
Rubidium,yes,4300AD243A,
Strontium,yes,4300AD7D70,
Yttrium,yes,4200B2752C,
Zirconium,yes,4200B1E67F,
Niobium,yes,4200B18F1F,
Molybdenum,yes,4200B2269C,
Technetium,yes,4300AD6430,
Ruthenium,yes,4200B159C7,
Rhodium,yes,4200B1D004,
Palladium,yes,4200B1F5D6,
Silver,yes,4300D2B5ED,
Cadmium,yes,4200B260DB,
Indium,yes,4300D1FBC1,
Tin,yes,4200B1C958,
Antimony,yes,4200B15955,
Tellurium,yes,4300AE3CA4,
Iodine,yes,4300AD514B,
Xenon,yes,4200B245C4,